slug,use_case,goal,trigger,inputs,decision,action
sewage-overflow,Detect sewage overflow events,Identify sewage discharge,Heavy rainfall,Flow sensors rainfall data,Is overflow occurring,Log event and notify regulator
monitor-water-levels,Monitor water levels,Track river or reservoir levels,Continuous operation,Level sensors telemetry,Are levels above threshold,Alert or feed model
forecast-flood,Forecast flood risk,Predict flood events,Weather forecast,Hydrological data models,Is flooding likely,Issue warning
operate-flood-defences,Operate flood defences,Protect areas from flooding,High water levels,Sensor data forecasts,Close barrier or not,Activate infrastructure
balance-supply,Balance water supply,Ensure adequate supply,Demand fluctuations,Consumption data supply levels,Is supply sufficient,Adjust distribution
manage-reservoir,Manage reservoir storage,Optimise storage levels,Variable inflow,Reservoir data inflow data,Store or release water,Control reservoir
reduce-demand,Reduce water demand,Lower consumption,Drought conditions,Usage data,Is reduction needed,Apply restrictions
plan-supply,Plan water supply,Ensure long-term availability,Strategic planning,Population climate data,Is supply sufficient long-term,Develop strategy
treat-reuse,Treat wastewater for reuse,Create reusable water,Water scarcity,Treatment plant data quality sensors,Is water safe,Release for reuse
produce-alternative,Produce alternative water,Generate supply from non-traditional sources,Supply shortage,Desalination inputs,Activate production,Supply water
allocate-resources,Allocate water resources,Distribute water fairly,Competing demand,Usage data allocation rules,Who gets water,Allocate resources
collect-data,Collect real-time data,Monitor system performance,Continuous operation,Sensors telemetry,Is data valid,Store and analyse
detect-pollution,Detect pollution events,Identify contamination,Sensor anomaly,Water quality data,Is pollution present,Trigger response
rural-supply,Provide rural water supply,Ensure access to water,Community need,Local supply data,Is supply reliable,Maintain system
transfer-water,Transfer water between regions,Balance regional supply,Regional imbalance,Supply demand data,Transfer required,Move water
